,genename,Sample_46-Belz_merged,Sample_46-HIF1alpha_278_299,Sample_46-HIF2alpha_266_311,Sample_46-WT_207_370,Sample_55-Belz_242_335,Sample_55-HIF1alpha_230_347,Sample_55-HIF2alpha_218_359,Sample_55-WT_254_323,Sample_59-Belz_194_383,Sample_59-HIF1alpha_277_300,Sample_59-HIF2alpha_265_312,Sample_59-WT_206_371,Sample_60-Belz_241_336,Sample_60-HIF1alpha_229_348,Sample_60-HIF2alpha_217_360,Sample_60-WT_253_324,LRS_36_HIF1a_KO_327_250,LRS_36_HIF2a_KO_315_262,LRS_36_NC_303_274,LRS_36_NT_339_238,LRS_38_HIF1a_KO_374_203,LRS_38_NC_350_227,LRS_38_NT_291_286,LRS_42_HIF1a_KO_326_251,LRS_42_HIF2a_KO_314_263,LRS_42_NC_302_275,LRS_42_NT_338_239,LRS_43_HIF1a_KO_373_204,LRS_43_HIF2a_KO_361_216,LRS_43_NC_349_228,LRS_43_NT_290_287,LRS-38_HIF2a_KO_362_215
16286,AL354751.1,1,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,2,2,2,1,1,2,2
16287,AL354751.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16288,AL354751.3,0,0,1,0,2,0,1,1,1,1,0,0,0,0,1,1,1,5.87,1,2,2,1,3,1,1,0,0,3,0,3,2,5
16289,AL354754.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16290,AL354760.1,1,0,0,1,0,0,0,0,1,2,0,2,0,1,1,0,8,5,1,5,1,1,2,2,0,0,1,2,0,1,2,0
16291,AL354761.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16292,AL354761.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16293,AL354766.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16294,AL354766.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16295,AL354771.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16296,AL354793.1,4,1,1,1,1,1,0,4,4,0,0,2,4,0,1,3,4,8,3,10,8,6,3,0,6,1,2,3,6,3,3,8
16297,AL354794.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
